cord_uid,abbreviation,full_definition
drg733k9,TCM,"Traditional Chinese Medicine"
drg733k9,MeJA,"methyl jasmonate"
drg733k9,UGT,"UDP-dependent glycosyltransferases"
drg733k9,SARS,"severe acute respiratory syndrome"
drg733k9,KEGG,"Kyoto Encyclopedia of Genes and Genomes"
drg733k9,COG,"Cluster of Orthologous Groups"
drg733k9,MRM,"Multiple reactions monitoring"
drg733k9,process,"processes (9,224"
drg733k9,IAMT,"indole-3-acetate methyl transferase genes"
drg733k9,YUCCA,"YUCCA monooxygenase genes"
drg733k9,IPDC,"indole pyruvate decarboxylase genes"
drg733k9,IPP,"isopentenyldiphosphate"
drg733k9,DMAPP,"dimethylallyldiphosphate"
drg733k9,MTDP,"monoterpenyl-diphosphatase gene"
drg733k9,DL7H,"7-deoxyloganin 7-hydroxylase gene"
drg733k9,DXS,"1-deoxy-D-xylulose 5-phosphate synthase"
drg733k9,DXR,"1-deoxy-D-xylulose 5-phosphate reductoisomerase"
drg733k9,GGPPS,"geranylgeranyl diphosphate synthase"
drg733k9,AACT,"acetyl-CoA C-acetyl transferase"
drg733k9,HMGR,"hydroxymethylglutaryl-CoA reductase gene"
drg733k9,STS,"synthase genes"
drg733k9,CHS,"chalcone synthase genes"
drg733k9,IFS,"isoflavone synthase gene"
drg733k9,FLS,"flavonol synthase gene"
drg733k9,F3′H,"flavonoid 3′- hydroxylase gene"
drg733k9,OMT,"O-methyltransferase gene"
drg733k9,gene,"gene (OMT"
hqs94hfa,AI,"active ingredient"
hqs94hfa,GI,"gastrointestinal"
hqs94hfa,NADP,"nicotinamide adenine dinucleotide phosphate"
hqs94hfa,OPs,"Organophosphates"
hqs94hfa,RBC,"red blood cell"
hqs94hfa,CNS,"central nervous system"
hqs94hfa,BT,"Bacillus thuringiensis"
hqs94hfa,COPD,"Chronic obstructive pulmonary disease"
hqs94hfa,feeding,"feedings"
hqs94hfa,PT,"Prothrombin time"
hqs94hfa,PTT,"partial thromboplastin time"
hqs94hfa,time,"time (PTT"
iy6wow70,HSGA,"hybrid skeleton graph analysis"
iy6wow70,GA,"genetic algorithm"
iy6wow70,G-flip,"Greedy feature flip algorithm"
iy6wow70,GLCM,"gray level co-occurrence matrix"
iy6wow70,LBP,"local binary pattern"
iy6wow70,PCA,"principle component analysis"
iy6wow70,ROI,"Region of Interest"
iy6wow70,MCs,"Micro Calcifications"
iy6wow70,KNN,"K-nearest neighbor"
iy6wow70,SVM,"Support Vector Machine"
iy6wow70,basal cell carcinoma,"basal cell carcinoma, and class 2 (psoriasis) consists of 67 images.Difficult task: the detection of the cancer"
iy6wow70,ROC,"Receiver Operating Characteristic"
iy6wow70,MLP,"multilayer perceptron"
iy6wow70,PNN,"probabilistic neural network"
iy6wow70,LVQ,"learning vector quantization"
2wbgj2xb,authority,"authority"
2wbgj2xb,privacy,"privacy of diagnosed patients"
2wbgj2xb,ii,"individuals,"
2wbgj2xb,PSI-CA,"Private set intersection cardinality"
2wbgj2xb,APSI,"authorized private set intersection"
2wbgj2xb,iii,"individual,"
hpn1ovgo,COVID-19,"coronavirus disease 2019"
hpn1ovgo,HAPE,"high-altitude pulmonary oedema"
hpn1ovgo,ARDS,"acute respiratory distress syndrome"
hpn1ovgo,PEEP,"positive end-expiratory pressure"
b9kf2s7w,CRCoV,"Canine respiratory coronavirus"
b9kf2s7w,License,".org/licen ses/by/4.0/"
b9kf2s7w,HCoVs,"Human coronaviruses"
b9kf2s7w,SARS-CoV,"severe acute respiratory syndrome coronavirus"
b9kf2s7w,MERS-CoV,"Middle East respiratory syndrome coronavirus"
b9kf2s7w,CRCoV,"Canine respiratory coronavirus"
b9kf2s7w,BCoV,"bovine coronavirus"
b9kf2s7w,FIPV,"feline infectious peritonitis virus"
b9kf2s7w,pi,"post-infection"
b9kf2s7w,RT,"room temperature"
b9kf2s7w,isolate 4182,"isolate 4182), ABG78748.1"
b9kf2s7w,EEA1,"endosome antigen 1"
b9kf2s7w,CHTxB,"cholera toxin subunit B"
b9kf2s7w,CME,"clathrin-mediated endocytosis"
b9kf2s7w,TMPRSS2,"transmembrane protease serine 2"
jqn6ihof,CNV,"copy numbers variants"
jqn6ihof,CNV,"copy number variation"
jqn6ihof,HCoV-229E,"human coronavirus 229E"
jqn6ihof,HCoV-EMC,"human 23 coronavirus EMC"
jqn6ihof,SeV,"Sendai virus"
jqn6ihof,HMPV,"human 24 metapneumovirus"
jqn6ihof,SARS-CoV,"SARS coronavirus of 2003 26 severe acute respiratory syndrome outbreak in Asia"
jqn6ihof,SRA,"Sequence Read Archive"
jqn6ihof,Mpro,"Main Protease"
ikt8r2o1,HCoV,"human coronavirus"
ikt8r2o1,COVID-19,"coronavirus disease 2019"
ikt8r2o1,HCoVs,"Human coronaviruses"
ikt8r2o1,SARS-CoV,"severe acute respiratory syndrome-related coronavirus"
ikt8r2o1,MERS-CoV,"Middle East respiratory syndrome-related coronavirus"
ikt8r2o1,COVID-19,"coronavirus disease 2019"
ikt8r2o1,ACE2,"angiotensin-converting enzyme 2"
ikt8r2o1,cases,"https://www.who.int/emergencies/diseases/novel-coronavirus-2019/situation-reports/. Accessed 15 March 2020"
ikt8r2o1,ICU,"intensive care unit"
ikt8r2o1,NP,"nasopharyngeal"
ikt8r2o1,OP,"oropharyngeal"
ikt8r2o1,CDC,"centers for disease control and prevention"
ikt8r2o1,BAL,"bronchoalveolar lavage fluid"
ikt8r2o1,PPE,"protective equipment"
ikt8r2o1,BSL-3,"biosafety level 3"
ikt8r2o1,Flu,"for influenza"
ikt8r2o1,IgG,"immunoglobulin G"
ikt8r2o1,NMPA,"National Medical Products Administration"
ikt8r2o1,EUA,"emergency use authorization"
ikt8r2o1,FDA,"Food and Drug Administration"
ikt8r2o1,POC,"point of care"
ikt8r2o1,POCT,"POC testing"
591iu6n8,nm,"nanometer"
591iu6n8,CDC,"Centers for Disease Control and Prevention"
591iu6n8,UN,"United Nations"
591iu6n8,bn,"billion"
591iu6n8,EWG,"Environmental Working Group"
591iu6n8,EFSA,"European Food Safety Authority"
591iu6n8,FDA,"Food and Drug Administration"
591iu6n8,ADI,"Acceptable Daily Intake"
591iu6n8,SARS CoV-2,"Severe Acute Respiratory Syndrome Corona Virus-2"
591iu6n8,COVID-19,"Corona Virus Disease 2019"
591iu6n8,WHO,"World Health Organization"
591iu6n8,ZnO,"Zinc Oxide"
591iu6n8,XAS,"X-ray absorption spectroscopy"
591iu6n8,NiO,"nickel oxide"
591iu6n8,LETM,"Low Energy Tumbling Mill"
591iu6n8,HEBM,"High Energy Ball Mill"
591iu6n8,PG,"peptidoglycan"
591iu6n8,Mn,"manganese"
591iu6n8,ROS,"reactive oxygen species"
591iu6n8,SAS,"Silicase"
591iu6n8,food,"food packaging system for its"
591iu6n8,QI,"Quality indicator"
591iu6n8,TI,"temperature indicator"
591iu6n8,indicator,"indicator (TI"
591iu6n8,TTI,"time-temperature indicator"
591iu6n8,GC,"gas concentration indicator"
591iu6n8,RFID,"Radio Frequency Identification"
591iu6n8,GM,"Genetically Modified"
18js044m,RSV,"respiratory syncytial virus"
18js044m,NJH,"National Jewisb Hospital and Research Center"
18js044m,plates,"plaque reduction tests"
18js044m,CF,"Complement fixation"
18js044m,trials,"trials 4 and 5"
q0spcsqw,POCT,"point-of-care test"
q0spcsqw,CI,"confidence intervals"
q0spcsqw,COVID-19,"coronavirus disease 2019"
q0spcsqw,PPE,"protective equipment"
q0spcsqw,FDA,"Food and Drug Administration"
q0spcsqw,EUAs,"Emergency Use Authorizations"
q0spcsqw,CLIA,"Clinical Laboratory Improvement Amendments of 1988"
q0spcsqw,POCT,"point-of-care test"
q0spcsqw,RdRp,"RNA-dependent RNA polymerase"
q0spcsqw,UVT,"universal viral transport"
q0spcsqw,CI,"confidence interval"
q0spcsqw,UTM,"universal transport medium"
q0spcsqw,CDC,"Centers for Disease Control and Prevention"
q0spcsqw,PPA,"positive percent agreement"
q0spcsqw,NPA,"negative percent agreement"
0pg3uylx,CHIP,"chimiothé rapie hyperthermique intra-pé ritoné ale"
le5lbw5y,ED,"emergency department"
le5lbw5y,COVED,"COVID-19 Emergency Department"
le5lbw5y,PCR,"polymerase chain reaction"
le5lbw5y,EMR,"electronic medical record"
le5lbw5y,REDCap,"Research Electronic Data Capture"
le5lbw5y,IRRs,"incident rate ratios"
le5lbw5y,HCWs,"health care workers"
le5lbw5y,ICU,"intensive care unit"
le5lbw5y,IPC,"Infection prevention and control"
lref2wap,SARS,"severe acute respiratory syndrome"
lref2wap,MERS,"Middle East respiratory syndrome"
lref2wap,COVID-19,"coronavirus disease 2019"
