cord_uid,type,sentence,sentence_tagged
drg733k9,abstract,0,Backgroud//NNP Isatis//NNP indigotica//NN widely//RB herb//NN clinical//JJ treatment//NN cold//NNS fever//NN influenza//NN traditional//JJ chinese//JJ Medicine//NNP tcm//NN 
drg733k9,abstract,1,structural//JJ class//NNS compound//NNS identify//VBN effective//JJ ingredient//NNS 
drg733k9,abstract,2,little//JJ know//VBN genetic//NNS level//NN active//JJ metabolite//NNS 
drg733k9,abstract,3,present//JJ study//NN perform//VBD de//FW novo//FW transcriptome//NN sequencing//NN time//NN produce//VB comprehensive//JJ dataset//NN indigotica//NN 
drg733k9,abstract,4,result//NNS database//NN unigene//NNS average//JJ length//NN basis//NNS generate//VBN perform//VBG transcriptome//JJ sequencing//NN 
drg733k9,abstract,5,base//VBN gene//NN annotation//NN transcriptome//NN unigene//NNS identify//VBN cover//VBG catalytic//JJ step//NNS general//JJ biosynthetic//JJ pathway//NNS indole//NN terpenoid//NN phenylpropanoid//NN 
drg733k9,abstract,6,subsequently//RB expression//NN pattern//NNS gene//NNS involve//VBN pathway//NNS response//NNS methyl//NN jasmonate//NN meja//NN induction//NN investigate//VBN 
drg733k9,abstract,7,metabolite//NNS profile//NN effective//JJ phenylpropanoid//NN show//VBD accumulation//NN pattern//NN secondary//JJ metabolite//NNS correlate//VBN transcription//NN biosynthetic//JJ gene//NNS 
drg733k9,abstract,8,accord//VBG analysis//NN glycosyltransferase//NNS ugt//NN family//NN flavonoid//NNS indicate//VBN exist//VB indigotica//NN identify//VBN metabolic//JJ profile//NN 
drg733k9,abstract,9,apply//VBG transcriptome//NN analysis//NN new//JJ putative//JJ ugt//NNS suggest//VBN flavonol//NN glycosyltransferase//NNS lignan//NN glycosyltransferase//NNS 
drg733k9,abstract,10,conclusion//NNS database//NN provide//VBZ pool//NN candidate//NN gene//NNS involve//VBN biosynthesis//NN effective//JJ metabolite//NNS indigotica//NN 
drg733k9,abstract,11,furthermore//RB comprehensive//JJ analysis//NN characterization//NN significant//JJ pathway//NNS expect//VBN well//JJR insight//NN diversity//NN chemical//JJ composition//NN synthetic//JJ characteristic//NNS regulatory//JJ mechanism//NN operate//VBP medical//JJ herb//NN 
drg733k9,full_text,0,Isatisindigotica//NNP Fort//NNP brassicaceae//NN biennial//JJ herbaceous//JJ plant//NN important//JJ popular//JJ herbal//JJ medicine//NN tcm//NN long//JJ history//NN 
drg733k9,full_text,1,Isatidis//NNP Radix//NNP Banlangen//NNP Isatis//NNP root//NN Isatidis//NNP Folium//NNP Daqingye//NNP Isatis//NNP leaf//NN widely//RB antibacterial//JJ antiviral//JJ immune//JJ regulatory//JJ effect//NNS treatment//NN cold//NNS fever//NN influenza//NN especially//RB treatment//NN severe//JJ acute//JJ respiratory//JJ syndrome//NN sars//NN 
drg733k9,full_text,2,date//NN numerous//JJ active//JJ compound//NNS identify//VBN indigotica//NN related//JJ specie//NNS isatis//NN 
drg733k9,full_text,3,compound//NNS mainly//RB divide//VBN class//NNS alkaloid//NNS phenylpropanoid//NNS terpenoid//NNS list//VBN additional//JJ file//NN table//JJ 
drg733k9,full_text,4,ingredient//NNS pharmaceutical//JJ activity//NNS indole//JJ alkaloid//NNS report//VBN 
drg733k9,full_text,5,indirubin//NN isaindigotone//JJ trytanthrin//NN validate//VBN active//JJ substance//NNS doxorubicin//NN resistance//NN leukocyte//NN inhibition//NN antiviral//JJ activity//NNS 
drg733k9,full_text,6,phenylpropanoid//NNS major//JJ group//NN active//JJ compound//NNS mainly//RB comprise//VBN lignan//NNS flavonoid//NNS 
drg733k9,full_text,7,lignan//NNS include//VBG pinoresinol//NN lariciresinol//NN lignan//JJ glycoside//NN derivative//NNS identify//VBN antiviral//JJ constituent//NNS 
drg733k9,full_text,8,addition//NN compound//NNS sitosterol//NNS epigitrin//NN epiprogoitrin//NN hypoxanthine//NN etc//FW involve//VBN major//JJ drug//NN action//NNS indigotica//NN 
drg733k9,full_text,9,compound//NNS present//VBN indigotica//NN alow//JJ natural//JJ abundance//NN lariciresinol//NN dw//NN dw//NN hypoxanthine//NN dw//NN 
drg733k9,full_text,10,increase//VBG content//NN active//JJ metabolite//NNS significance//NN enhance//VBG quality//NN indigotica//NN meet//VBZ grow//VBG market//NN requirement//NNS 
drg733k9,full_text,11,metabolic//JJ engineering//NN approach//NNS emerge//VBN powerful//JJ tool//NN increase//VBG production//NN valuable//JJ compound//NNS plant//NNS 
drg733k9,full_text,12,understanding//NN biosynthesis//NN content//NN valuable//JJ compound//NNS dramatically//RB increase//VBN technique//NNS medicinal//JJ plant//NNS Catharanthus//NNP Hyoscyamus//NNP Salvia//NNP 
drg733k9,full_text,13,limited//JJ information//NN biosynthesis//NN pathway//NNS successful//JJ progress//NN metabolic//JJ engineering//NN indigotica//NN 
drg733k9,full_text,14,deep//JJ understanding//NN biosynthetic//JJ pathway//NNS compound//NNS produce//VBN plant//NN imperative//JJ 
drg733k9,full_text,15,plant//NN specie//NNS little//JJ information//NN initially//RB available//JJ achieve//VB goal//NN 
drg733k9,full_text,16,previous//JJ study//NNS gene//NNS involve//VBN lignan//JJ synthesis//NN isolate//VBN characterize//VBN include//VBG pal//NN ccr//NN cad//NN CCoAOMT//NNP plr//NN homologous//JJ cloning//NN 
drg733k9,full_text,17,slow//JJ process//NN homologous//JJ cloning//NN afford//VBN limited//JJ progress//NN complete//JJ understanding//NN diverse//JJ biosynthetic//JJ pathway//NNS indigotica//NN 
drg733k9,full_text,18,gene//NNS involve//VBN secondary//JJ metabolite//NNS synthesis//NN corresponding//JJ regulatory//JJ gene//NNS active//JJ compound//NNS remain//VBP unclear//JJ 
drg733k9,full_text,19,obtain//VB general//JJ database//NN gene//NNS rna//NN deep//JJ sequencing//NN employ//VBN order//NN evaluate//VB transcriptome//NN indigotica//NN 
drg733k9,full_text,20,de//FW novo//FW technique//NN possible//JJ identify//VB set//NN putative//JJ gene//NNS involve//VBN pathway//NNS secondary//JJ metabolism//NN especially//RB gene//NNS related//JJ biosynthesis//NN valuable//JJ active//JJ compound//NNS 
drg733k9,full_text,21,aim//NN research//NN establish//VB candidate//NN gene//NN pool//NN indigotica//NN assist//VB discovery//NN new//JJ gene//NNS related//JJ secondary//JJ metabolic//JJ pathway//NNS 
drg733k9,full_text,22,metabolite//NN analysis//NN carry//VBN follow//VBG indication//NNS offer//VBN transcriptome//NN 
drg733k9,full_text,23,integrated//JJ analysis//NN transcriptome//NN secondary//JJ metabolite//NNS lead//VB knowledge//NN pool//NN metabolite//NNS biosynthetic//JJ process//NNS formation//NN active//JJ compound//NNS indigotica//NN 
drg733k9,full_text,24,plant//NN indigotica//NN grow//VBN medicinal//JJ plant//NN garden//NN Second//NNP Military//NNP Medical//NNP University//NNP Shanghai//NNP China//NNP identify//VBN Professor//NNP Hanming//NNP Zhang//NNP 
drg733k9,full_text,25,organ//NNS flowering//NN plantlet//NNS include//VBG flower//NNS leave//NNS stem//VBZ root//NNS collect//VBN respectively//RB April//NNP freeze//VBN immediately//RB liquid//JJ nitrogen//NN storage//NN c//NN 
drg733k9,full_text,26,indigotica//NN hairy//JJ root//NN culture//NNS maintain//VBN laboratory//NN 
drg733k9,full_text,27,hairy//JJ root//NN material//NN culture//VBN ml//NN liquid//NN medium//NN ph//NN 
drg733k9,full_text,28,week//NNS shake//VBG culture//NN hairy//JJ root//NNS exponential//JJ phase//NN prepare//VBN induction//NN 
drg733k9,full_text,29,sample//NN μm//NN meja//NN Sigma//NNP USA//NNP dissolve//VBN ethanol//NN add//VBN ml//NN liquid//NN medium//NN induction//NN 
drg733k9,full_text,30,solvent//NN volume//NN add//VBN control//NN group//NN 
drg733k9,full_text,31,hairy//JJ root//NN culture//NNS collect//VBN h//NN h//NN h//NN treatment//NN respectively//RB 
drg733k9,full_text,32,sample//NNS freeze//VBN store//VBN liquid//JJ nitrogen//NN examination//NN 
drg733k9,full_text,33,total//JJ rna//NNS isolate//VBN trizol//NN reagent//JJ invitrogen//NN usa//NN accord//VBG manufacturer//NN protocol//NN 
drg733k9,full_text,34,mrna//NN purify//VBN total//JJ rna//NN oligotex//NN mrna//NN Midi//NNP kit//NN Qiagen//NNP Germany//NNP 
drg733k9,full_text,35,sequencing//NN rna//NN extraction//VBZ different//JJ organ//NNS mix//VBN total//JJ μg//NN 
drg733k9,full_text,36,rna//NN indigotica//FW hairy//JJ root//NNS extract//VBN solexa//NN sequencing//NN 
drg733k9,full_text,37,sequencing//NN run//NN perform//VBN Roche//NNP GS//NNP FLX//NNP platform//NN 
drg733k9,full_text,38,solexa//NN sequence//VBG million//CD read//NNS sample//NN carry//VBN Illumina//NNP platform//NN 
drg733k9,full_text,39,sequencing//NNS purchase//VBN Shanghai//NNP Majorbio//NNP Technology//NNP Corporation//NNP 
drg733k9,full_text,40,sequencing//NN raw//JJ sequence//NN datum//NNS purify//VBN trim//VBG adapter//NN sequence//NNS remove//VBG sequence//NNS 
drg733k9,full_text,41,combined//JJ assembling//NN read//NNS obtain//VBN solexa//NN sequencing//NN subject//VBN trinity//NN 
drg733k9,full_text,42,Readswere//JJS combine//VBN overlap//NN certain//JJ length//NN produce//VB long//JJR contig//NNS unigene//NNS 
drg733k9,full_text,43,assembly//NN conduct//VBN default//NN parameter//NNS 
drg733k9,full_text,44,read//NNS fit//VB contig//NN define//VBN singleton//NNS 
drg733k9,full_text,45,result//VBG singleton//NNS unigene//NNS represent//VBD indigotica//NN candidate//NN gene//NN set//NN 
drg733k9,full_text,46,assembling//NN blastx//NN alignment//NN e//NN value//NN protein//NN database//NNS include//VBG ncbi//NN protein//NN database//NN protein//NN database//NN Kyoto//NNP Encyclopedia//NNP gene//NNS Genomes//NNP kegg//NN pathway//NN database//NN Cluster//NNP orthologous//JJ Groups//NNPS cog//NN database//NN 
drg733k9,full_text,47,step//NN retrieve//VB protein//NNS high//JJS sequence//NN similarity//NN obtain//VBN unigene//NNS determine//VB functional//JJ annotation//NNS 
drg733k9,full_text,48,sample//NN μg//NN total//JJ rna//NN Superscript//NNP iii//CD Reverse//NNP Transcriptase//NNP Invitrogen//NNP usa//NN 
drg733k9,full_text,49,pcr//NNS perform//VBN accord//VBG instruction//NNS SYBR//NNS premix//VBD Ex//NNP taq//NN kit//NN carry//VBD triplicate//NN pcr//NN detection//NN system//NN takara//NN China//NNP 
drg733k9,full_text,50,primer//NNS design//VBN 
drg733k9,full_text,51,primer//NNS multiple//JJ gene//NN family//NNS design//VBN avoid//VB homology//NN region//NNS homology//NN alignment//NN 
drg733k9,full_text,52,length//NN amplicon//NNS bp//NN bp//NN 
drg733k9,full_text,53,primer//NN sequence//NNS list//VBN additional//JJ file//NN 
drg733k9,full_text,54,housekeeping//JJ gene//NN select//VBN internal//JJ reference//NN 
drg733k9,full_text,55,thermo//NN cycler//NN condition//NNS comprise//VBD initial//JJ holding//NN c//NN sec//NN c//NN min//NN 
drg733k9,full_text,56,step//NN follow//VBN sybrpcr//NN program//NN consist//VBG c//NN sec//NN c//NN sec//NN cycle//NNS 
drg733k9,full_text,57,standard//JJ deviation//NNS calculate//VBN pcr//NN replicate//NNS 
drg733k9,full_text,58,specificity//NN amplification//NN assess//VBN dissociation//NN curve//NN analysis//NN relative//JJ abundance//NN gene//NNS determine//VBN comparative//JJ ct//NN method//NN 
